Date,Open,High,Low,Close,Adj Close,Volume
2015-03-25,73.330002,73.410004,72.040001,72.110001,64.938293,1389000
2015-03-26,71.550003,72.089996,70.949997,71.750000,64.614098,835500
2015-03-27,72.070000,72.669998,71.720001,72.540001,65.325523,1221900
2015-03-30,72.959999,73.150002,72.709999,72.720001,65.487617,1017000
2015-03-31,72.720001,72.900002,72.110001,72.169998,64.992317,998100
2015-04-01,73.040001,73.040001,72.000000,72.410004,65.208450,960100
2015-04-02,73.139999,73.269997,72.540001,72.760002,65.523643,808700
2015-04-06,72.400002,73.730003,72.360001,73.330002,66.036949,857000
2015-04-07,73.470001,73.790001,72.900002,72.949997,65.694748,686200
2015-04-08,73.610001,73.669998,72.660004,72.930000,65.676735,876100
2015-04-09,72.860001,73.089996,72.550003,72.980003,65.721771,686800
2015-04-10,73.220001,73.489998,72.940002,73.180000,65.901878,604600
2015-04-13,73.199997,73.300003,72.559998,72.800003,65.559669,682400
2015-04-14,73.629997,73.690002,73.260002,73.360001,66.063972,726100
2015-04-15,73.550003,73.669998,72.699997,73.360001,66.063972,574600
2015-04-16,72.790001,73.099998,72.389999,72.900002,65.649719,925500
2015-04-17,72.000000,72.190002,71.250000,71.730003,64.596085,924400
2015-04-20,72.519997,72.779999,72.070000,72.320000,65.127403,832100
2015-04-21,74.160004,74.550003,73.809998,74.139999,66.766396,1563100
2015-04-22,73.980003,74.680000,73.459999,74.430000,67.027542,1342100
2015-04-23,73.989998,75.059998,73.849998,74.820000,67.378761,944100
2015-04-24,74.889999,75.410004,74.309998,75.180000,67.702950,762500
2015-04-27,76.620003,77.110001,76.330002,76.389999,68.792610,1259200
2015-04-28,76.830002,76.989998,76.199997,76.540001,68.927711,1037700
2015-04-29,76.870003,77.070000,75.860001,76.220001,68.639526,1304900
2015-04-30,76.250000,76.529999,75.470001,75.690002,68.162231,1117800
2015-05-01,75.900002,76.860001,75.889999,76.400002,68.801628,768400
2015-05-04,76.480003,76.650002,76.209999,76.209999,68.630516,1439200
2015-05-05,75.290001,75.339996,74.260002,74.470001,67.063576,1375600
2015-05-06,75.070000,75.389999,74.449997,74.720001,67.288712,1443600
2015-05-07,75.080002,75.889999,74.970001,75.309998,67.820030,1284700
2015-05-08,75.690002,76.349998,75.650002,76.010002,68.450417,521000
2015-05-11,75.529999,75.870003,75.419998,75.489998,67.982132,774200
2015-05-12,75.220001,75.599998,74.910004,75.269997,67.784004,1065000
2015-05-13,76.209999,76.650002,75.610001,75.720001,68.189255,794700
2015-05-14,76.620003,77.360001,76.410004,77.269997,69.585091,1309500
2015-05-15,76.879997,77.080002,76.559998,76.830002,69.188866,868100
2015-05-18,75.739998,76.050003,75.430000,75.629997,69.177879,847700
2015-05-19,75.400002,75.809998,75.279999,75.599998,69.150436,556700
2015-05-20,75.330002,75.860001,75.220001,75.699997,69.241913,648700
2015-05-21,75.480003,75.980003,75.410004,75.800003,69.333382,627300
2015-05-22,75.129997,75.160004,74.690002,74.709999,68.336372,492900
2015-05-26,74.080002,74.139999,73.029999,73.500000,67.229599,892000
2015-05-27,73.260002,74.290001,73.129997,74.190002,67.860733,1148300
2015-05-28,74.559998,74.610001,73.860001,74.260002,67.924759,822600
2015-05-29,74.260002,74.459999,73.750000,73.900002,67.595482,868300
2015-06-01,74.080002,74.169998,73.279999,73.860001,67.558891,475600
2015-06-02,74.629997,75.089996,74.389999,74.680000,68.308929,700400
2015-06-03,75.209999,75.970001,75.180000,75.660004,69.205322,790100
2015-06-04,75.199997,76.110001,74.680000,74.839996,68.455276,588000
2015-06-05,73.629997,74.150002,73.199997,73.639999,67.357643,815000
2015-06-08,73.620003,73.750000,73.099998,73.419998,67.156418,733300
2015-06-09,72.769997,73.019997,72.290001,72.730003,66.525284,721100
2015-06-10,73.589996,74.379997,73.169998,74.089996,67.769257,648000
2015-06-11,74.459999,74.730003,73.800003,74.199997,67.869881,587700
2015-06-12,73.419998,73.919998,72.940002,73.550003,67.275330,638600
2015-06-15,72.050003,72.760002,71.930000,72.470001,66.287460,665700
2015-06-16,72.150002,73.169998,72.040001,72.959999,66.735657,690800
2015-06-17,72.879997,73.199997,72.250000,72.889999,66.671638,805400
2015-06-18,72.570000,74.080002,72.470001,73.260002,67.010071,1253900
2015-06-19,72.709999,72.849998,72.349998,72.660004,66.461266,849700
2015-06-22,74.680000,75.570000,74.529999,74.809998,68.427834,1273300
2015-06-23,74.870003,74.930000,74.430000,74.480003,68.125992,560700
2015-06-24,73.919998,74.120003,73.400002,73.510002,67.238739,682900
2015-06-25,73.830002,73.930000,73.199997,73.500000,67.229599,683300
2015-06-26,73.690002,73.750000,72.669998,72.970001,66.744812,608800
2015-06-29,71.769997,72.000000,70.519997,70.680000,64.650169,1262800
2015-06-30,70.930000,70.949997,69.650002,70.230003,64.238579,1520400
2015-07-01,70.800003,70.989998,70.169998,70.370003,64.366623,1247300
2015-07-02,70.370003,70.379997,69.720001,69.959999,63.991596,668500
2015-07-06,67.809998,68.849998,67.730003,68.260002,62.436634,1698700
2015-07-07,67.870003,69.059998,67.019997,68.839996,62.967148,2377300
2015-07-08,68.750000,69.190002,68.279999,68.480003,62.637856,955100
2015-07-09,70.160004,70.540001,69.760002,69.809998,63.854404,1002400
2015-07-10,72.839996,72.870003,72.059998,72.269997,66.104530,1495700
2015-07-13,72.820000,73.059998,72.510002,72.599998,66.406380,1006400
2015-07-14,73.099998,73.489998,72.959999,73.209999,66.964325,816000
2015-07-15,73.629997,74.760002,73.370003,74.150002,67.824142,1817800
2015-07-16,74.690002,74.839996,74.430000,74.599998,68.235748,956100
2015-07-17,74.680000,74.699997,73.910004,74.169998,67.842430,755000
2015-07-20,75.040001,75.080002,74.300003,74.459999,68.107697,1477300
2015-07-21,74.519997,74.730003,71.910004,72.800003,66.589317,3605900
2015-07-22,72.870003,73.239998,72.370003,72.559998,66.369789,2191800
2015-07-23,73.309998,73.739998,73.080002,73.419998,67.156418,1218000
2015-07-24,73.510002,73.639999,72.230003,72.430000,66.250885,2586200
2015-07-27,72.489998,72.529999,71.570000,71.690002,65.574013,1819000
2015-07-28,71.550003,72.389999,71.430000,72.260002,66.095383,2271400
2015-07-29,71.739998,72.570000,71.639999,72.089996,65.939888,889000
2015-07-30,71.160004,71.769997,70.750000,71.639999,65.528282,1295600
2015-07-31,71.870003,72.099998,71.459999,71.669998,65.555710,520100
2015-08-03,72.449997,72.449997,71.349998,71.620003,65.509979,980900
2015-08-04,72.150002,72.309998,71.769997,71.919998,65.784386,885400
2015-08-05,72.220001,72.779999,72.139999,72.349998,66.177704,447000
2015-08-06,72.860001,72.959999,72.139999,72.260002,66.095383,774500
2015-08-07,71.809998,72.070000,71.459999,72.000000,65.857559,584000
2015-08-10,72.260002,73.279999,72.250000,73.080002,66.845428,493700
2015-08-11,72.320000,72.410004,71.269997,71.620003,65.509979,573900
2015-08-12,70.980003,71.599998,70.230003,71.580002,65.473396,1114500
2015-08-13,70.730003,71.000000,70.449997,70.680000,64.650169,721700
2015-08-14,70.410004,70.720001,70.139999,70.620003,64.595299,661300
2015-08-17,69.540001,70.199997,69.410004,70.160004,64.174530,675400
2015-08-18,69.750000,69.849998,69.440002,69.760002,63.808670,709900
2015-08-19,69.529999,70.510002,69.360001,70.169998,64.183678,1354900
2015-08-20,70.169998,70.199997,68.089996,68.099998,62.290279,1364400
2015-08-21,68.500000,68.970001,67.650002,67.709999,61.933552,2103200
2015-08-24,64.910004,67.910004,63.060001,65.470001,59.884647,2794700
2015-08-25,68.669998,68.910004,66.389999,66.480003,60.808487,2586500
